"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Dec 23, 2025 3:46:15 PM PST","25187401591","Order","114-4589973-2024260","GB-CA-02-LION","Grumpy Bear Camping Hatchet with Lion Carving, Full Tang Outdoor Axe with Decorative Handle, Durable Forged Blade for Hiking, Bushcraft, and Survival","1","amazon.com","Standard Orders","Amazon","STAFFORD","VA","22554","MarketplaceFacilitator","17.99","0.95","0","0","0","0","0","0","0","0","-0.95","-2.70","-5.68","0","0","9.61"
"Dec 23, 2025 4:16:15 PM PST","25187401591","Order","111-3562336-2016242","AXE-GBWS-L","Grumpy Bear 15"" Survival Axe Camping Hatchet - Forged High Carbon Steel Blade with Walnut Wood Handle - Shock-Absorbing, Anti-Slip Grip - Ideal for Bu","1","amazon.com","Standard Orders","Amazon","SEMINOLE","FL","33776","MarketplaceFacilitator","35.41","2.48","0","0","0","0","0","0","0","0","-2.48","-5.31","-6.44","0","0","23.66"
"Dec 23, 2025 4:22:26 PM PST","25187401591","Order","111-0759025-6643446","AXE-GBWS-L","Grumpy Bear 15"" Survival Axe Camping Hatchet - Forged High Carbon Steel Blade with Walnut Wood Handle - Shock-Absorbing, Anti-Slip Grip - Ideal for Bu","1","amazon.com","Standard Orders","Amazon","BOTHELL","WA","98011","MarketplaceFacilitator","35.41","3.61","0","0","0","0","0","0","0","0","-3.61","-5.31","-6.44","0","0","23.66"
"Dec 23, 2025 4:24:43 PM PST","25187401591","Order","112-5866927-2825822","AXE-SH-L","Grumpy Bear 15"" Survival Axe Camping Hatchet - Forged High Carbon Steel Blade with Walnut Wood Handle - Shock-Absorbing, Anti-Slip Grip - Ideal for Bu","1","amazon.com","Standard Orders","Amazon","MOORESVILLE","NC","28115","MarketplaceFacilitator","36.94","2.49","0","0","0","0","0","0","0","0","-2.49","-5.54","-6.44","0","0","24.96"
"Dec 23, 2025 4:32:19 PM PST","25187401591","Order","114-8205830-0206600","GB-CA-02-TIGER","Grumpy Bear Camping Hatchet with Tiger Carving, Full Tang Outdoor Axe with Decorative Handle, Durable Forged Blade for Hiking, Bushcraft, and Survival","1","amazon.com","Standard Orders","Amazon","BATTLE MOUNTAIN","NV","89820","MarketplaceFacilitator","17.99","1.28","0","0","0","0","0","0","0","0","-1.28","-2.70","-5.84","0","0","9.45"
"Dec 23, 2025 4:47:14 PM PST","25187401591","Order","114-3916311-5036229","CP-A-K-U","Grumpy Bear Camping Axe & Sickle Set - Dual Outdoor Tools for Camping, Survival & Bushcraft | High Carbon Steel Camping Axe & Hatchet Combo | Black Ox","1","amazon.com","Standard Orders","Amazon","COVINA","CA","91723","MarketplaceFacilitator","14.99","1.57","0","0","0","0","0","0","0","0","-1.57","-2.25","-5.84","0","0","6.90"
"Dec 23, 2025 4:49:59 PM PST","25187401591","Order","111-6229074-2605847","CP-A-K-U","Grumpy Bear Camping Axe & Sickle Set - Dual Outdoor Tools for Camping, Survival & Bushcraft | High Carbon Steel Camping Axe & Hatchet Combo | Black Ox","1","amazon.com","Standard Orders","Amazon","MENDOTA","IL","61342","MarketplaceFacilitator","14.99","0.97","0","0","0","0","0","0","0","0","-0.97","-2.25","-5.84","0","0","6.90"
"Dec 23, 2025 5:38:29 PM PST","25187401591","Order","111-2318498-2733036","CP-A-K-U","Grumpy Bear Camping Axe & Sickle Set - Dual Outdoor Tools for Camping, Survival & Bushcraft | High Carbon Steel Camping Axe & Hatchet Combo | Black Ox","1","amazon.com","Standard Orders","Amazon","RAPID CITY","SD","57701","MarketplaceFacilitator","14.99","0.93","0","0","0","0","0","0","0","0","-0.93","-2.25","-5.84","0","0","6.90"
"Dec 23, 2025 6:10:25 PM PST","25187401591","Order","111-3896863-8233856","GB-CA-02-TIGER","Grumpy Bear Camping Hatchet with Tiger Carving, Full Tang Outdoor Axe with Decorative Handle, Durable Forged Blade for Hiking, Bushcraft, and Survival","1","amazon.com","Standard Orders","Amazon","BAKERSFIELD","CA","93308","MarketplaceFacilitator","17.99","1.48","0","0","0","0","0","0","0","0","-1.48","-2.70","-5.84","0","0","9.45"
"Dec 23, 2025 6:10:25 PM PST","25187401591","Order","111-3896863-8233856","GB-CA-02-WOLF","Grumpy Bear Camping Hatchet with Wolf Carving, Full Tang Outdoor Axe with Decorative Handle, Durable Forged Blade for Hiking, Bushcraft, and Survival","1","amazon.com","Standard Orders","Amazon","BAKERSFIELD","CA","93308","MarketplaceFacilitator","19.99","1.65","0","0","0","0","0","0","0","0","-1.65","-3.00","-5.84","0","0","11.15"
"Dec 23, 2025 6:10:31 PM PST","25187401591","Order","113-3552153-0621033","Axe-F-R-S","Grumpy Bear 11"" Survival Axe Camping Hatchet - Forged High Carbon Steel Blade with Walnut Wood Handle - Shock-Absorbing, Anti-Slip Grip - Ideal for Bu","1","amazon.com","Standard Orders","Amazon","KNOXVILLE","IA","50138","MarketplaceFacilitator","34.41","2.17","0","0","0","0","0","0","-3.44","0","-2.17","-4.65","-6.24","0","0","20.08"
"Dec 23, 2025 6:19:01 PM PST","25187401591","Order","S01-4562774-6239650","AXE-WS-S","Grumpy Bear 11"" Survival Axe Camping Hatchet – Forged High Carbon Steel Blade with Walnut Wood Handle – Shock-Absorbing, Anti-Slip Grip – Ideal for Bushcraft, Wood Splitting & Outdoor Adventures","1","sim1.stores.amazon.com","Standard Orders","Amazon","MERRILL","WI","54452","","0","0","0","0","0","0","0","0","0","0","0","0","-11.75","0","0","-11.75"
"Dec 23, 2025 6:32:28 PM PST","25187401591","Order","114-8303659-4647417","AXE-SH-L","Grumpy Bear 15"" Survival Axe Camping Hatchet - Forged High Carbon Steel Blade with Walnut Wood Handle - Shock-Absorbing, Anti-Slip Grip - Ideal for Bu","1","amazon.com","Standard Orders","Amazon","MARANA","AZ","85653","MarketplaceFacilitator","36.94","3.18","0","0","0","0","0","0","0","0","-3.18","-5.54","-6.44","0","0","24.96"
